name,pop,region,income,education_score,out_of_work
Easington (County Durham) BUA,7193,North East,Higher deprivation towns,-2.055701844,15.151515151515152
New Romney BUA,9674,South East,Higher deprivation towns,-4.694684002,NA
Highworth BUA,7886,South West,Lower deprivation towns,1.715773536,NA
Washingborough BUA,6463,East Midlands,Lower deprivation towns,1.230205901,NA
South Ockendon BUA,19460,East of England,Higher deprivation towns,-3.326532717,8.778625954198473
Chipping Norton BUA,5719,South East,Lower deprivation towns,0.645531654,NA
West Chiltington Common BUA,7474,South East,Lower deprivation towns,2.955442566,NA
New Rossington BUA,13537,Yorkshire and The Humber,Higher deprivation towns,-4.46402942,18.354430379746837
Brightlingsea BUA,8076,East of England,Mid deprivation towns,-0.124779673,NA
Stanford-le-Hope BUA,28725,East of England,Mid deprivation towns,-1.519621899,8.913649025069638
Yeovil BUA,45784,South West,Higher deprivation towns,-2.566804564,7.950530035335689
North Baddesley BUA,6823,South East,Lower deprivation towns,2.191094304,NA
Amesbury BUA,10116,South West,Lower deprivation towns,-2.411504279,NA
Crook BUA,9498,North East,Higher deprivation towns,-0.980249672,19.090909090909093
Shipston-on-Stour BUA,5038,West Midlands,Lower deprivation towns,1.465412296,NA
Maldon BUA,21462,East of England,Mid deprivation towns,-0.334002038,9.15492957746479
Sudbury BUA,22213,East of England,Mid deprivation towns,-5.084834842,8.666666666666668
Brandon (County Durham) BUA,9566,North East,Higher deprivation towns,0.537506979,12.962962962962962
Ormskirk BUA,24073,North West,Lower deprivation towns,6.233039216,6.334841628959276
Blyth (Northumberland) BUA,37339,North East,Higher deprivation towns,-6.357467729,18.58407079646018
Holbeach BUA,7914,East Midlands,Higher deprivation towns,-1.749072267,NA
East Horsley BUA,5866,South East,Lower deprivation towns,10.77155677,NA
Burwell BUA,6309,East of England,Lower deprivation towns,4.403636341,NA
Darlington BUA,92363,North East,Higher deprivation towns,-0.800938807,13.492822966507177
Axminster BUA,5761,South West,Mid deprivation towns,-2.660956487,NA
Looe BUA,5112,South West,Higher deprivation towns,-0.038425825,NA
Southwater BUA,8692,South East,Lower deprivation towns,4.609741018,NA
Cranfield BUA,5369,East of England,Lower deprivation towns,2.879243467,NA
Norton Canes BUA,7479,West Midlands,Higher deprivation towns,-6.207951854,12.5
Newquay BUA,20189,South West,Higher deprivation towns,-0.421589109,6.074766355140187
Hemsworth BUA,9246,Yorkshire and The Humber,Higher deprivation towns,-6.653926141,12.280701754385964
Lightwater BUA,6791,South East,Lower deprivation towns,6.774061908,NA
Bewdley BUA,8571,West Midlands,Mid deprivation towns,2.179427199,NA
Sawtry BUA,5252,East of England,Lower deprivation towns,1.457590086,NA
Millom BUA,5980,North West,Higher deprivation towns,-6.915157397,12.5
Thirsk BUA,9953,Yorkshire and The Humber,Mid deprivation towns,-1.764391177,NA
Huntingdon BUA,23937,East of England,Mid deprivation towns,-4.352786938,9.090909090909092
Shirebrook BUA,10885,East Midlands,Higher deprivation towns,-4.05910281,10.236220472440944
Sherborne BUA,9523,South West,Mid deprivation towns,-4.049786694,NA
Silsden BUA,7912,Yorkshire and The Humber,Lower deprivation towns,3.181615951,NA
Willington (County Durham) BUA,6633,North East,Higher deprivation towns,-1.466742587,24.637681159420293
South Molton BUA,5108,South West,Higher deprivation towns,-6.711417914,NA
Honiton BUA,11483,South West,Mid deprivation towns,-2.805766898,NA
Chippenham (Wiltshire) BUA,35800,South West,Lower deprivation towns,1.023815376,5.522682445759369
Gillingham (North Dorset) BUA,11278,South West,Lower deprivation towns,1.321650638,NA
Redbourn BUA,5113,East of England,Lower deprivation towns,7.172221185,NA
West Mersea BUA,7057,East of England,Lower deprivation towns,0.701730546,NA
Tring BUA,11929,East of England,Lower deprivation towns,5.649712778,NA
Guisborough BUA,16979,North East,Mid deprivation towns,0.599919251,13.432835820895525
Olney BUA,6477,South East,Lower deprivation towns,10.74972706,NA
New Alresford BUA,5431,South East,Lower deprivation towns,2.585660421,NA
Marchwood BUA,6141,South East,Lower deprivation towns,2.021652879,NA
Rugeley BUA,24033,West Midlands,Higher deprivation towns,-3.750785762,8.904109589041095
